Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
7.067266123294830322e+02,4.337628824270831274e+01,0.000000000000000000e+00,4.055700000000000216e+01,3.320900000000000318e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.077388067245483398e+02,4.656344933762546390e+01,0.000000000000000000e+00,4.055700000000000216e+01,3.324099999999999966e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.087176795005798340e+02,3.988186554345122659e+01,0.000000000000000000e+00,4.087899999999999778e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.097305185794830322e+02,3.976110186092709142e+01,0.000000000000000000e+00,4.103999999999999915e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.107087266445159912e+02,3.587927446259693198e+01,0.000000000000000000e+00,4.129800000000000182e+01,3.317699999999999960e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.117221841812133789e+02,3.307562157366368183e+01,0.000000000000000000e+00,4.155599999999999739e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.126997318267822266e+02,3.599118061678368719e+01,0.000000000000000000e+00,4.152300000000000324e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.137132382392883301e+02,2.886245893355925318e+01,0.000000000000000000e+00,4.184599999999999653e+01,3.314500000000000313e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.146907293796539307e+02,3.103490022739804033e+01,0.000000000000000000e+00,4.187800000000000011e+01,3.320900000000000318e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.157044165134429932e+02,2.516189092660382443e+01,0.000000000000000000e+00,4.216799999999999926e+01,3.336999999999999744e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.166824164390563965e+02,2.629175823763118913e+01,0.000000000000000000e+00,4.223199999999999932e+01,3.343500000000000227e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.176958742141723633e+02,2.131571303988431865e+01,0.000000000000000000e+00,4.249000000000000199e+01,3.359599999999999653e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.186734549999237061e+02,2.008621699765049584e+01,0.000000000000000000e+00,4.265100000000000335e+01,3.346699999999999875e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.196872811317443848e+02,1.794485400359909377e+01,0.000000000000000000e+00,4.281300000000000239e+01,3.346699999999999875e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.206646108627319336e+02,1.374306661612318869e+01,0.000000000000000000e+00,4.307000000000000028e+01,3.346699999999999875e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.216783871650695801e+02,1.444587584431141813e+01,0.000000000000000000e+00,4.313499999999999801e+01,3.346699999999999875e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.226562337875366211e+02,1.447393310036661518e+01,0.000000000000000000e+00,4.313499999999999801e+01,3.346699999999999875e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.236700944900512695e+02,8.019085027971970092e+00,0.000000000000000000e+00,4.342499999999999716e+01,3.356300000000000239e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.246473538875579834e+02,9.556315044953262117e+00,0.000000000000000000e+00,4.345700000000000074e+01,3.369200000000000017e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.256611995697021484e+02,9.182788467073436323e+00,0.000000000000000000e+00,4.345700000000000074e+01,3.375699999999999790e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.266385927200317383e+02,7.853362009899687912e+00,0.000000000000000000e+00,4.348899999999999721e+01,3.378900000000000148e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.276521518230438232e+02,2.937922745113624057e+00,0.000000000000000000e+00,4.371500000000000341e+01,3.382099999999999795e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.286297533512115479e+02,3.134154417153360406e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.382099999999999795e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.296432433128356934e+02,3.022822165250737214e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.375699999999999790e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.306209027767181396e+02,2.283907142448384775e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.378900000000000148e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.316342630386352539e+02,1.518009456491427045e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.378900000000000148e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.326120128631591797e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.400500000000000256e+01,3.382099999999999795e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.336258490085601807e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.378900000000000148e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.346033546924591064e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.388600000000000279e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.356176433563232422e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.404699999999999704e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.365944340229034424e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.376092262268066406e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.385855603218078613e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.396012053489685059e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.405765321254730225e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.415926136970520020e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.416599999999999682e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.425677003860473633e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.416599999999999682e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.435837178230285645e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.413400000000000034e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.445587000846862793e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.419800000000000040e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.455756433010101318e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.465497517585754395e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.411099999999999710e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.475667994022369385e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.430499999999999972e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.485415091514587402e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.424000000000000199e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.495579237937927246e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.440100000000000335e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.505328309535980225e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.406900000000000261e+01,3.443399999999999750e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.515491297245025635e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410199999999999676e+01,3.443399999999999750e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.525244739055633545e+02,1.454721890323254829e+00,0.000000000000000000e+00,4.390800000000000125e+01,3.443399999999999750e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.535402042865753174e+02,1.258013491567078423e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.443399999999999750e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.545156893730163574e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.443399999999999750e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.555319476127624512e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.443399999999999750e+01,4.000000000000000000e+01,2.300000000000000000e+01
7.565070121288299561e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.377900000000000347e+01,3.446600000000000108e+01,4.000000000000000000e+01,2.300000000000000000e+01
